bitlength,rounding,poi,inputsource,subchanneling,subchanneling_bits,ecc,multihashing,CAF,STEG BANDWIDTH,DISTANCE
2,6,broadcast_domain,IPD,iphash,2.0,none,0.0,2.0,0.01,192.73
2,6,broadcast_domain,IPD,iphash,4.0,none,0.0,2.0,0.01,192.73
2,6,broadcast_domain,IPD,iphash,8.0,none,0.0,2.0,0.01,192.73
2,6,broadcast_domain,IPD,iphash,2.0,hamming,0.0,2.0,0.0,1569.02
2,6,broadcast_domain,IPD,iphash,4.0,hamming,0.0,2.0,0.0,1569.02
2,6,broadcast_domain,IPD,iphash,8.0,hamming,0.0,2.0,0.0,1569.02
2,6,broadcast_domain,IPD,iphash,2.0,hamming+,0.0,2.0,0.0,403.91
2,6,broadcast_domain,IPD,iphash,4.0,hamming+,0.0,2.0,0.0,403.91
2,6,broadcast_domain,IPD,iphash,8.0,hamming+,0.0,2.0,0.0,403.91
2,6,broadcast_domain,IPD,iphash,2.0,inline-hamming+,0.0,2.0,0.01,184.45
2,6,broadcast_domain,IPD,iphash,4.0,inline-hamming+,0.0,2.0,0.01,184.45
2,6,broadcast_domain,IPD,iphash,8.0,inline-hamming+,0.0,2.0,0.01,184.45
2,6,broadcast_domain,IPD,clockhash,2.0,none,0.0,2.0,0.01,186.28
2,6,broadcast_domain,IPD,clockhash,4.0,none,0.0,2.0,0.01,179.45
2,6,broadcast_domain,IPD,clockhash,8.0,none,0.0,2.0,0.01,204.14
2,6,broadcast_domain,IPD,clockhash,2.0,hamming,0.0,2.0,0.0,1301.95
2,6,broadcast_domain,IPD,clockhash,4.0,hamming,0.0,2.0,0.0,1308.91
2,6,broadcast_domain,IPD,clockhash,8.0,hamming,0.0,2.0,0.0,1474.5
2,6,broadcast_domain,IPD,clockhash,2.0,hamming+,0.0,2.0,0.0,404.57
2,6,broadcast_domain,IPD,clockhash,4.0,hamming+,0.0,2.0,0.01,387.9
2,6,broadcast_domain,IPD,clockhash,8.0,hamming+,0.0,2.0,0.0,410.68
2,6,broadcast_domain,IPD,clockhash,2.0,inline-hamming+,0.0,2.0,0.01,182.93
2,6,broadcast_domain,IPD,clockhash,4.0,inline-hamming+,0.0,2.0,0.01,176.73
2,6,broadcast_domain,IPD,clockhash,8.0,inline-hamming+,0.0,2.0,0.01,198.35
2,6,broadcast_domain,ISD,none,0.0,none,0.0,2.0,0.01,188.14
2,6,broadcast_domain,ISD,none,0.0,hamming,0.0,2.0,0.0,1301.95
2,6,broadcast_domain,ISD,none,0.0,hamming+,0.0,2.0,0.0,437.87
2,6,broadcast_domain,ISD,none,0.0,inline-hamming+,0.0,2.0,0.01,177.62
2,6,broadcast_domain,ICD,none,0.0,none,0.0,2.0,0.01,191.82
2,6,broadcast_domain,ICD,none,0.0,hamming,0.0,2.0,0.0,1344.87
2,6,broadcast_domain,ICD,none,0.0,hamming+,0.0,2.0,0.0,430.93
2,6,broadcast_domain,ICD,none,0.0,inline-hamming+,0.0,2.0,0.01,186.7
2,6,broadcast_domain,ISPN,none,0.0,none,0.0,2.0,0.02,123.74
2,6,broadcast_domain,ISPN,none,0.0,hamming,0.0,2.0,0.0,2689.75
2,6,broadcast_domain,ISPN,none,0.0,hamming+,0.0,2.0,0.0,463.57
2,6,broadcast_domain,ISPN,none,0.0,inline-hamming+,0.0,2.0,0.01,153.17
2,6,broadcast_domain,timestamp,none,0.0,none,0.0,2.0,0.01,189.59
2,6,broadcast_domain,timestamp,none,0.0,hamming,0.0,2.0,0.0,1431.39
2,6,broadcast_domain,timestamp,none,0.0,hamming+,0.0,2.0,0.01,399.95
2,6,broadcast_domain,timestamp,none,0.0,inline-hamming+,0.0,2.0,0.01,188.72
3,2,all,IPD,none,0.0,none,0.0,3.0,,
3,2,all,IPD,none,0.0,hamming,0.0,3.0,,
3,2,all,IPD,none,0.0,hamming+,0.0,3.0,,
3,2,all,IPD,none,0.0,inline-hamming+,0.0,3.0,,
3,2,all,IPD,baseipd,2.0,none,0.0,3.0,,
3,2,all,IPD,baseipd,4.0,none,0.0,3.0,,
3,2,all,IPD,baseipd,8.0,none,0.0,3.0,,
3,2,all,IPD,baseipd,2.0,hamming,0.0,3.0,,
3,2,all,IPD,baseipd,4.0,hamming,0.0,3.0,,
3,2,all,IPD,baseipd,8.0,hamming,0.0,3.0,,
